50 5000 25000
1053 186 4675 4565
1215 830 4565 210
1422 389 210 3372
973 747 3372 5576
948 1116 5576 1432
273 1164 1432 4820
505 598 4820 1449
1283 766 1449 3573
1067 922 3573 3181
589 768 3181 2526
562 735 2526 5048
653 586 5048 2760
1276 515 2760 4998
927 345 4998 910
1273 1089 910 20
468 418 20 4420
568 514 4420 4626
213 931 4626 628
1179 644 628 5186
330 41 5186 2114
370 629 2114 205
624 809 205 4779
1247 637 4779 2673
783 1258 2673 1131
841 1312 1131 2060
434 776 2060 883
358 993 883 1573
1318 228 1573 4652
1153 755 4652 2767
1079 560 2767 2046
1223 208 2046 3627
767 535 3627 4384
854 653 4384 5008
1206 1066 5008 1299
172 831 1299 4261
234 457 4261 740
1351 95 740 3171
549 354 3171 10
78 468 10 1365
978 559 1365 653
1138 1008 653 2537
512 765 2537 713
63 510 713 465
846 399 465 1835
1439 924 1835 1623
1336 1000 1623 3237
1314 1136 3237 3307
439 1099 3307 3301
1421 701 3301 3865
926 462 3865 4675
110 870 2114 2537
952 268 3181 3237
702 949 740 1131
358 578 5186 3372
1436 1136 3237 3307
1347 963 4675 4384
886 895 1365 713
821 396 4626 1835
718 127 910 883
571 154 2046 1623
795 1182 740 4626
361 672 3171 1573
158 296 4565 20
1161 531 4998 1299
11 1336 2537 5008
535 334 1449 4261
1137 953 20 2060
683 399 465 1835
229 490 910 2526
215 1537 910 2537
714 472 628 1573
223 418 20 4420
488 644 4820 5186
1095 283 883 5008
58 1218 4675 883
45 359 205 1299
550 1039 883 4565
887 1330 2060 3237
717 101 628 2526
1228 1416 653 2060
338 672 1449 1623
1036 1063 2537 2526
1396 1168 1432 628
551 510 4261 1623
427 1136 4675 1623
893 881 4675 628
416 798 740 1835
1322 625 3301 205
113 767 1432 2537
130 974 2673 5008
505 510 5008 653
337 341 2673 1299
115 79 2046 1365
1310 855 3573 1131
507 630 5186 1573
725 1186 3573 1573
931 129 4384 4998
694 162 3573 910
826 733 5008 5186
1299 348 4420 1835
762 1121 4652 2046
56 320 4261 3372
845 505 210 4261
481 1142 1365 465
188 1252 4779 910
1208 893 3865 2673
833 672 1623 1449
927 443 10 20
809 114 3372 3301
1323 111 3181 4420
563 362 4675 3237
179 653 4384 5008
1334 926 4675 3171
850 571 1449 1573
716 538 1365 3865
49 701 3865 3301
798 146 1365 1623
884 1170 465 740
1244 453 2760 1365
553 186 4565 4675
251 51 3171 210
845 51 210 3171
1102 191 205 3171
1139 1063 4652 1623
570 724 2046 1299
31 490 3237 4261
118 995 10 2060
324 584 740 2114
1343 90 210 4384
865 570 5186 740
318 547 210 2673
335 1282 4261 2060
972 906 4675 3307
1379 1023 3372 1573
725 578 1299 1449
511 674 4626 1432
248 332 3301 1623
770 798 883 1299
252 1284 2537 740
688 445 3237 1449
393 852 5576 5048
59 910 2760 3307
1048 1162 3181 3307
247 1115 465 210
1386 700 2673 1365
861 351 10 4820
1219 818 2537 5576
633 59 205 4384
1299 405 205 2673
1199 554 5576 4779
1140 1003 1131 883
1247 343 2114 653
925 538 1365 3865
1019 247 3181 1835
1358 1375 3573 4626
944 162 910 3573
1120 1252 2060 3865
693 235 740 205
1298 630 2767 713
1272 415 5048 3301
40 1061 4675 2060
800 1136 4675 1623
751 394 3301 740
866 969 1623 3307
955 688 1835 1432
433 288 4261 5186
1123 697 3627 3237
264 653 4384 5008
1378 1402 4626 2760
968 874 2060 3171
1008 901 2060 910
241 964 883 3181
992 136 883 1623
290 703 205 1835
1246 687 4626 3865
239 223 210 628
1362 784 1299 4420
58 595 628 3865
1309 387 4261 910
268 297 2526 1365
1162 450 2114 20
1411 336 2537 465
1118 688 2760 205
122 978 740 713
1133 378 1449 5048
1431 1201 465 910
1269 951 210 4675
9 263 3171 628
1195 1292 4626 3372
104 891 740 20
1341 353 1835 10
826 291 4420 2767
47 606 3865 465
181 888 2767 2537
1186 645 10 3372
1049 528 3627 5186
879 570 740 5186
888 912 2060 1365
643 754 713 1835
619 730 3627 3181
521 194 2060 3307
1219 413 1835 4652
1267 1099 465 205
988 970 2060 3372
1133 303 4652 2537
42 1250 1432 2060
1023 404 1131 5048
1024 645 3372 10
1278 1159 465 2046
890 241 4820 4998
59 468 10 1365
1308 349 3865 4261
1381 528 653 2046
1154 1004 1573 1432
96 1003 3573 1299
361 1142 465 1365
24 473 3301 4998
1402 635 205 5186
854 919 10 2760
498 403 3237 5186
1149 111 4420 3181
594 427 740 3573
654 1013 740 4675
1390 733 1449 4652
1414 384 4384 10
345 985 4675 3627
928 888 2537 2767
779 1146 3307 3372
1042 1339 1365 2537
663 908 20 1365
262 177 3372 3573
232 938 1299 3237
352 566 3301 4384
450 146 1623 1365
1130 482 3307 2673
902 974 5008 2673
863 882 3573 4420
726 473 3301 4998
1259 892 3573 5576
989 578 2046 2114
677 361 2673 2060
383 758 2060 2526
1287 161 3171 2526
578 594 3865 1432
852 1189 713 5576
507 912 4779 3171
1346 125 740 1623
639 847 2046 3237
846 514 4652 5576
68 319 628 740
243 232 3865 3181
825 448 10 740
968 361 2673 2060
1325 657 653 883
280 456 4675 2114
557 1128 4384 465
935 637 713 3627
901 828 628 5048
1107 528 3181 713
1283 549 1449 2526
524 1364 2060 5048
532 596 205 3865
227 774 4652 1131
1145 157 3237 4420
986 584 4779 4420
751 830 210 4565
1342 1099 205 465
616 140 740 4998
738 659 3307 4779
1400 131 910 2046
583 61 5186 1449
532 1469 5008 4652
1118 334 4261 1449
1004 68 910 3372
640 589 2114 1573
751 671 3301 2767
276 578 5186 3372
689 700 2673 1365
934 1339 2537 1365
416 594 3865 1432
643 712 205 2060
164 892 5576 3573
1371 698 10 3237
656 905 3237 2760
914 606 2114 1299
855 129 4998 4384
1038 747 5576 3372
830 609 465 2767
1259 628 713 2114
424 631 628 2114
1049 332 1131 465
650 470 653 3301
1198 578 1299 740
1352 455 3171 4261
947 614 465 1449
711 18 2767 2114
85 715 3307 1573
154 450 20 2114
1406 1023 1573 910
388 283 883 5008
1252 906 5008 3181
260 930 910 4565
568 689 4820 4261
543 480 1835 1131
1061 833 3307 628
1193 1036 740 3307
380 445 1449 3237
82 636 4384 2760
1117 877 10 2537
1282 931 4626 628
993 1048 20 3372
895 699 1449 4626
1022 452 3865 1131
1307 578 2046 2114
965 1301 1623 4626
654 609 628 3372
1231 586 2760 5048
725 250 4384 1623
1406 845 2060 740
86 861 1299 3372
69 762 883 2114
837 1269 3627 4652
1343 568 740 2767
33 229 2767 3181
1013 195 3237 1432
1036 905 5008 2060
559 509 5186 3171
1107 905 210 4779
1265 1271 3307 3865
1000 488 740 5008
700 408 713 5048
50 1189 5576 713
750 756 5008 2767
231 223 740 2526
478 797 3181 4820
984 1181 210 2537
61 822 4565 2526
715 515 2760 4998
404 688 205 2760
117 812 4420 3301
880 356 4420 465
935 1054 3171 3307
1304 256 1365 4384
1186 644 5186 628
704 348 5048 2767
695 932 5048 1299
117 455 4261 3171
1004 378 3865 653
1409 525 205 3372
1398 216 1365 3372
839 696 4820 3301
334 969 1623 3307
70 610 1299 2767
1128 596 4820 3865
392 29 5186 2767
959 970 2046 20
1076 223 628 210
1279 1292 4626 3372
74 1039 4565 883
127 584 4779 4420
1056 404 5048 1131
1233 617 4384 5186
1055 955 4652 1432
1074 267 2046 4998
55 566 3301 4384
782 1107 713 4998
4 799 4565 3627
150 999 1365 4675
946 609 628 3372
1434 344 210 883
598 895 713 1365
619 388 2046 205
977 296 20 4565
460 208 2046 3627
843 1216 3307 3627
1368 1182 713 2060
951 955 1432 4652
1321 1012 205 4626
474 1170 465 740
1132 369 713 653
501 289 4820 1299
604 1080 3307 910
335 589 3573 4384
948 780 2060 2760
691 485 3573 5048
1268 369 2673 5576
886 503 4565 5048
494 846 910 1299
1242 228 1573 4652
452 368 465 4779
877 980 740 4652
563 459 4626 1573
745 949 1131 740
910 472 3627 4998
691 637 4779 2673
17 354 465 3237
1110 667 713 3865
1095 256 628 4998
1305 530 910 653
1247 938 3237 1299
787 687 5186 4779
525 303 4652 2537
823 296 4565 20
1218 1162 3181 3307
732 29 2767 5186
1390 253 2760 910
370 530 210 3573
1245 545 210 2767
1018 1088 3171 465
34 1189 5576 713
866 1066 2537 5048
1007 1066 5048 2537
935 1096 3573 1835
984 1469 2537 3372
535 706 2537 1299
279 436 20 3865
1230 868 740 4565
81 177 3573 3372
953 356 465 4420
987 1021 3307 3573
285 1059 2537 205
1165 593 210 2760
660 768 2526 3181
204 68 3372 910
611 259 3237 4565
762 1261 2760 4675
552 186 4675 4565
505 718 3573 4820
712 618 3372 3865
680 557 1573 3865
244 417 4420 713
368 263 713 3237
887 839 3307 4820
812 391 3865 5048
63 907 1623 3181
565 71 4820 205
68 937 3301 2673
184 217 5008 3627
486 354 10 3171
537 490 2526 910
1149 1159 465 2046
785 659 3307 4779
1313 756 20 205
976 695 1623 2114
675 908 1365 20
349 456 4384 2673
12 665 2767 4779
1236 1004 1573 1432
1203 1048 3627 465
867 383 1365 4820
959 259 3237 4565
454 906 3307 4675
515 788 713 20
108 910 3307 2760
875 973 4998 4565
549 1150 2537 4261
1203 530 653 910
638 1537 910 2537
543 1291 2114 2060
191 345 4998 910
262 965 4779 5048
872 114 2760 3573
950 196 883 3372
1382 142 4998 210
1414 86 205 628
979 232 3865 3181
644 912 3301 4565
475 756 205 20
402 868 4565 740
1167 248 1131 4565
170 1048 4820 1131
0 636 653 740
1315 820 2673 910
1108 462 2673 1573
226 349 4261 3865
785 186 4565 4675
1438 114 3372 3301
1013 1012 4626 205
491 651 1131 4779
1203 686 1449 3301
1306 251 4820 3171
1306 1252 3865 2060
1182 1047 4779 1365
722 833 3307 628
948 617 4384 5186
165 570 740 5186
163 529 1365 5186
1048 538 3573 653
100 437 4384 910
1303 450 2537 20
742 482 3307 2673
1349 197 20 4779
750 724 210 1835
1278 686 4420 2537
800 446 2526 883
1319 129 3301 910
559 254 1623 3372
451 415 3301 5048
816 136 883 1623
191 263 628 3171
314 616 2673 740
179 1090 4626 210
33 305 740 4820
437 800 3301 1131
835 610 2767 1299
519 610 2767 1299
944 474 4675 2767
145 532 1365 2767
440 596 205 1449
359 734 5186 883
1038 573 2046 3865
1030 514 4420 4626
1258 1004 1573 1432
24 662 3627 4820
930 357 2046 4261
604 310 1449 4420
395 157 3237 4420
594 538 653 3573
681 1216 3307 3627
629 462 3865 4675
301 256 1365 4384
438 484 5186 4675
565 587 4565 4652
1433 506 1365 5048
128 767 1432 2537
1386 668 1432 3301
895 865 1365 3237
653 265 5576 10
